"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1104526607","LITTLE ANGELS BEHAVIORAL SERVICES","3"
"1154021665","Katy Luallen, MFT","4"
"1174223689","Peacock Transport Service","3"
"1205536620","Yaroslav Mukha","3"
"1225738735","Alpha & Omega Home Health & Transportation","3"
"1275233777","Cambridge Dental Care","3"
"1306546809","Doves Care Adult Day","3"
"1326748815","Berry Personalized Primary Care LLC","3"
"1508566019","Brick By Brick Behavioral Health Services LLC","3"
"1538869045","Golden Hearts Corporation","3"
"1538869953","Wellness Transport Services","3"
"1619675154","The Therapist Collaborative","3"
"1659071140","DENTISTRY OF NORCROSS LLC","3"
"1699475186","Seeds for Growth and Development Inc","4"
"1740894096","ASSISTING HANDS SOUTH CENTRAL LAS VEGAS","3"
"1780384198","Freedom Care","3"
"1831899244","Sunsets Recovery For Women","3"
"1861192270","Blue Oasis Home Care","3"
"1902506405","Eyes on Wesley Chapel","3"
"1033144175","Texas Tech UHSC Surgery","3"
"1053011403","University Pharmacy","3"
"1104298199","Family Net of Catawba County","3"
"1104298199","County of Catawba Office of Account dba Family Net of Catawba County","5"
"1104320233","Powerback Rehabilitation","3"
"1174223523","LISA MCMICHAEL","3"
"1275140311","Powerback Rehabilitation","3"
"1285334623","PRINE Podiatry","3"
"1285334631","Harvest Therapy Services","3"
"1386369700","Shared Purpose","3"
"1386675940","Texas Tech UHSC Pediatrics","3"
"1407314750","Citadel caregivers","3"
"1407577331","Bump Health Florida","3"
"1477253805","Beacon Dental Partners","3"
"1538869961","Robert L Griffith","5"
"1609801976","Williamsport Regional Medical Center","3"
"1629778113","Thrive Restoration Clinic","3"
"1699195289","CAC","3"
"1700586153","ACCESSRx SPECIALTY PHARMAC","3"
"1710687157","SoCal Skin and Surgery","3"
"1710687165","Comfort Keepers","3"
"1730853714","Orthotic WoRx","3"
"1790485134","Dentistry in Middletown","3"
"1801505847","Powerback Rehabilitation","3"
"1811697485","Rehab 365","3"
"1821421876","ECU Telepsychiatry Center","3"
"1851612691","Family NET of Catawba County","3"
"1871241414","Powerback Rehabilitation","3"
"1891495248","Accessrx Specialty Pharmacy","3"
"1932809373","Reflections Mental Health Foundation","5"
"1952001398","Orange Companies Inc.","5"
"1982304341","ACCESSRx SPECIALTY PHARMACY","3"
"1992442479","Caring Acres Nursing and Rehab Center","3"
"1003462581","Bump Boxes, Inc","3"
"1053729814","On Demand Urgent Care","3"
"1093415457","Women's Health Center of Plano","3"
"1114627577","ECF Counseling PLLC","3"
"1124375688","VitalSleep of Austin","3"
